source,rank,singular_value,var_frac
head-adapt,134,1.273656,0.001338
head-adapt,135,1.269577,0.00133
head-adapt,136,1.266853,0.001324
head-adapt,137,1.262782,0.001316
head-adapt,138,1.246333,0.001282
head-adapt,139,1.238364,0.001265
head-adapt,140,1.233082,0.001255
head-adapt,141,1.226864,0.001242
head-adapt,142,1.225777,0.00124
head-adapt,143,1.220755,0.00123
head-adapt,144,1.206952,0.001202
head-adapt,145,1.197725,0.001184
head-adapt,146,1.188849,0.001166
head-adapt,147,1.188543,0.001166
head-adapt,148,1.178489,0.001146
head-adapt,149,1.171088,0.001132
head-adapt,150,1.165861,0.001121
head-adapt,151,1.164947,0.00112
head-adapt,152,1.163988,0.001118
head-adapt,153,1.149685,0.001091
head-adapt,154,1.14362,0.001079
head-adapt,155,1.143157,0.001078
head-adapt,156,1.135894,0.001065
head-adapt,157,1.134653,0.001062
head-adapt,158,1.124234,0.001043
head-adapt,159,1.122352,0.001039
head-adapt,160,1.1113,0.001019
head-adapt,161,1.10641,0.00101
head-adapt,162,1.103158,0.001004
head-adapt,163,1.100922,0.001
head-adapt,164,1.093804,0.000987
head-adapt,165,1.091617,0.000983
head-adapt,166,1.085025,0.000971
head-adapt,167,1.078717,0.00096
head-adapt,168,1.073748,0.000951
head-adapt,169,1.069828,0.000944
head-adapt,170,1.060464,0.000928
head-adapt,171,1.053689,0.000916
head-adapt,172,1.053285,0.000915
head-adapt,173,1.05178,0.000913
head-adapt,174,1.043108,0.000898
head-adapt,175,1.039521,0.000892
head-adapt,176,1.033789,0.000882
head-adapt,177,1.032774,0.00088
head-adapt,178,1.023007,0.000863
head-adapt,179,1.020104,0.000859
head-adapt,180,1.007496,0.000838
head-adapt,181,1.004076,0.000832
head-adapt,182,1.001937,0.000828
head-adapt,183,1.001307,0.000827
head-adapt,184,0.999427,0.000824
head-adapt,185,0.993244,0.000814
head-adapt,186,0.990162,0.000809
head-adapt,187,0.988366,0.000806
head-adapt,188,0.984938,0.0008
head-adapt,189,0.982786,0.000797
head-adapt,190,0.97723,0.000788
head-adapt,191,0.963554,0.000766
head-adapt,192,0.962059,0.000764
head-adapt,193,0.953071,0.000749
head-adapt,194,0.949791,0.000744
head-adapt,195,0.943745,0.000735
head-adapt,196,0.941393,0.000731
head-adapt,197,0.935334,0.000722
head-adapt,198,0.932307,0.000717
head-adapt,199,0.926024,0.000708
head-adapt,-1,58.477,-1
