path,bit,flip_frac
distillation,909,0.1342
distillation,910,0.1258
distillation,911,0.1322
distillation,912,0.1552
distillation,913,0.124
distillation,914,0.097
distillation,915,0.1416
distillation,916,0.1342
distillation,917,0.128
distillation,918,0.1214
distillation,919,0.1438
distillation,920,0.1014
distillation,921,0.1468
distillation,922,0.1328
distillation,923,0.1268
distillation,924,0.1406
distillation,925,0.1488
distillation,926,0.1286
distillation,927,0.1286
distillation,928,0.1252
distillation,929,0.1424
distillation,930,0.144
distillation,931,0.1398
distillation,932,0.16
distillation,933,0.1304
distillation,934,0.144
distillation,935,0.1274
distillation,936,0.1314
distillation,937,0.1138
distillation,938,0.1268
distillation,939,0.1354
distillation,940,0.1568
distillation,941,0.137
distillation,942,0.1458
distillation,943,0.1238
distillation,944,0.1586
distillation,945,0.1388
distillation,946,0.1238
distillation,947,0.135
distillation,948,0.1374
distillation,949,0.1088
distillation,950,0.1164
distillation,951,0.1154
distillation,952,0.1402
distillation,953,0.131
distillation,954,0.1252
distillation,955,0.1412
distillation,956,0.1332
distillation,957,0.1394
distillation,958,0.1112
distillation,959,0.142
distillation,960,0.14
distillation,961,0.139
distillation,962,0.1344
distillation,963,0.1382
distillation,964,0.143
distillation,965,0.1624
distillation,966,0.1392
distillation,967,0.1374
distillation,968,0.1412
distillation,969,0.1334
distillation,970,0.149
distillation,971,0.1382
distillation,972,0.1446
distillation,973,0.139
distillation,974,0.1372
distillation,975,0.1212
distillation,976,0.148
distillation,977,0.1594
distillation,978,0.1326
distillation,979,0.1202
distillation,980,0.1542
distillation,981,0.1412
distillation,982,0.1174
distillation,983,0.123
distillation,984,0.1404
distillation,985,0.1692
distillation,986,0.1184
distillation,987,0.1428
distillation,988,0.1224
distillation,989,0.1324
distillation,990,0.1374
distillation,991,0.1218
distillation,992,0.118
distillation,993,0.125
distillation,994,0.15
distillation,995,0.1272
distillation,996,0.1308
distillation,997,0.1278
distillation,998,0.1238
distillation,999,0.1294
distillation,1000,0.143
distillation,1001,0.136
distillation,1002,0.141
distillation,1003,0.1246
distillation,1004,0.1224
distillation,1005,0.1336
distillation,1006,0.1224
distillation,1007,0.1316
distillation,1008,0.1394
distillation,1009,0.1436
distillation,1010,0.1372
distillation,1011,0.1502
distillation,1012,0.1428
distillation,1013,0.144
